timestamp,tweet_text,username,all_hashtags,followers_count
2020-02-14 09:08:54,b'One Piece trending .. \nviral \xf0\x9f\x91\x89 Anggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',Kang_Syafi1,['SuaraParlemen'],4
2020-02-14 08:32:04,b'#NegaraMelindungi\nAnggaran Pemindahan Ibukota Negara harus terukur.. \nhttps://t.co/09N7Skrdyw',Kang_Syafi1,['NegaraMelindungi'],4
2020-02-14 08:31:28,b'#IrreplaceableBI\nAnggaran Pemindahan Ibukota Negara harus terukur.. https://t.co/09N7Skrdyw',Kang_Syafi1,['IrreplaceableBI'],4
2020-02-14 08:14:01,b'#brilianfutureleader..\nAnggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',Kang_Syafi1,"['brilianfutureleader', 'SuaraParlemen']",4
2020-02-14 08:09:21,b'#brilianfutureleader \nAnggaran Pemindahan Ibukota Negara harus terukur..  https://t.co/09N7Skrdyw',Kang_Syafi1,['brilianfutureleader'],4
2020-02-14 08:08:48,b'#SayNoToValentineDay\nAnggaran Pemindahan Ibukota Negara harus terukur.. \nhttps://t.co/09N7Skrdyw',Kang_Syafi1,['SayNoToValentineDay'],4
2020-02-14 08:08:11,b'#UdahPutusinAja \nAnggaran Pemindahan Ibukota Negara harus terukur..  https://t.co/09N7Skrdyw',Kang_Syafi1,['UdahPutusinAja'],4
2020-02-14 08:07:40,b'#ValentinesDay2020 viral di twitter... Trending \xf0\x9f\x91\x89 Anggaran Pemindahan Ibukota Negara harus terukur.. \n https://t.co/09N7Skrdyw',Kang_Syafi1,['ValentinesDay2020'],4
2020-02-14 07:20:06,b'#MbahHasyim idolaku...\nAnggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',Kang_Syafi1,"['MbahHasyim', 'SuaraParlemen']",4
2020-02-14 07:18:24,b'#LaguRinduDita \nAnggaran Pemindahan Ibukota Negara harus terukur.. \n https://t.co/09N7Skrdyw',Kang_Syafi1,['LaguRinduDita'],4
2020-02-14 07:17:32,b'#valentinebukanbudayakita Trending di Twitter.. Viral \xf0\x9f\x91\x89 Anggaran Pemindahan Ibukota Negara harus terukur.. \n#SuaraParlemen https://t.co/09N7Skrdyw',Kang_Syafi1,"['valentinebukanbudayakita', 'SuaraParlemen']",4
